ID,UTMX,UTMY,Genus
473,371934.2263,9929506.643,Callicebus
474,371942.0346,9929479.15,Callicebus
475,371891.3464,9929625.559,Callicebus
476,371984.0739,9929709.649,Callicebus
477,371891.9922,9929685.38,Callicebus
478,371965.7722,9929641.257,Callicebus
479,371844.4026,9929651.659,Callicebus
480,371812.5571,9929645.793,Callicebus
481,371930.5,9929712.5,Callicebus
482,371944.5389,9929708.92,Callicebus
483,371915.2882,9929554.17,Callicebus
484,371945.9281,9929453.032,Callicebus
485,371937,9929670,Callicebus
486,371944.1572,9929595.871,Callicebus
487,371953.3679,9929520.016,Callicebus
488,371954.4613,9929590.92,Callicebus
489,371846.7117,9929655.823,Callicebus
490,371952.3274,9929473.628,Callicebus
491,371925.2816,9929416.93,Callicebus
492,371919.7672,9929476.171,Callicebus
493,371920.0812,9929482.163,Callicebus
494,371881,9929643.9,Callicebus
495,371862.5182,9929565.854,Callicebus
496,371919.7308,9929525.919,Callicebus
497,371978.1492,9929550.526,Callicebus
498,371988.0088,9929548.858,Callicebus
499,371993.5993,9929553.071,Callicebus
500,371920.049,9929559.307,Callicebus
501,371949.4,9929547.8,Callicebus
502,372019.6193,9929744.823,Callicebus
503,371839.4914,9929647.676,Callicebus
504,371863.8034,9929645.239,Callicebus
505,371855.2167,9929604.557,Callicebus
506,371845.901,9929655.368,Callicebus
507,371870.3,9929656,Callicebus
508,371959.4515,9929636.901,Callicebus
509,371455.2421,9929368.371,Callicebus
510,371910.2537,9929604.686,Callicebus
511,371929.6634,9929608.172,Callicebus
512,371907.3893,9929565.648,Callicebus
513,371359.5,9929508.7,Callicebus
514,371655.1138,9929348.059,Callicebus
515,372277.5787,9929497.484,Callicebus
516,372280.35,9929495.884,Callicebus
517,372278.3,9929434.8,Callicebus
518,371871.1,9929686.2,Callicebus
519,371911.1,9929708.7,Callicebus
520,371841.7845,9929663.834,Callicebus
521,371841.8,9929663.8,Callicebus
522,371702.0325,9929344.088,Callicebus
523,371677.8,9929310.1,Callicebus
524,372083.619,9929542.316,Callicebus
525,371726.5489,9929291.708,Callicebus
526,371885.9792,9929588.06,Callicebus
527,371938.1,9929557.4,Callicebus
528,371865.9362,9929540.162,Callicebus
529,371867.8406,9929527.053,Callicebus
530,371845.2729,9929588.072,Callicebus
531,371973.1172,9929669.589,Callicebus
532,371938.9596,9929731.791,Callicebus
533,371937.2675,9929749.547,Callicebus
534,371927.8,9929719,Callicebus
535,371907.5,9929468.8,Callicebus
536,371915.8,9929476,Callicebus
537,371677.8,9929311.1,Callicebus
538,371893.1155,9929669.541,Callicebus
539,372197.834,9929520.715,Callicebus
540,372359.5487,9929265.957,Callicebus
541,372137.8402,9929608.373,Callicebus
542,371626.3663,9929308.422,Callicebus
543,371723.5873,9929482.359,Callicebus
544,371923.8,9929719,Callicebus
545,371870.4572,9929685.434,Callicebus
546,371597.0167,9929386.094,Callicebus
547,371700.7813,9929330.384,Callicebus
548,371762.8236,9929489.551,Callicebus
549,372078.6175,9929608.136,Callicebus
550,371524.2056,9929339.942,Callicebus
551,371519.617,9929346.495,Callicebus
552,371723.936,9929478.374,Callicebus
553,371757.8638,9929547.576,Callicebus
554,372134.9327,9929553.63,Callicebus
555,371550.9339,9929362.353,Callicebus
556,371550.9339,9929362.353,Callicebus
557,371511.0721,9929345.237,Callicebus
558,371518.3491,9929343.776,Callicebus
559,371551.2812,9929360.383,Callicebus
560,371551.2812,9929360.383,Callicebus
561,371857.1164,9929417.5,Callicebus
562,371647.0988,9929372.206,Callicebus
563,371753.1653,9929545.866,Callicebus
564,371952.5379,9929577.86,Callicebus
565,371966.3552,9929652.816,Callicebus
566,371888.0604,9929629.197,Callicebus
567,371905.9903,9929675.665,Callicebus
568,371894.0704,9929580.672,Callicebus
569,371647.9368,9929384.264,Callicebus
570,371643,9929365,Callicebus
571,371817.6299,9929484.679,Callicebus
572,371657.5602,9929353.423,Callicebus
573,371869.2007,9929660.508,Callicebus
574,371936.451,9929591.358,Callicebus
575,371530.1345,9929354.427,Callicebus
576,371754.5055,9929348.379,Callicebus
577,371633.2674,9929406.304,Callicebus
578,371639.2203,9929428.521,Callicebus
579,372273.6964,9929482.995,Callicebus
580,372270.742,9929483.516,Callicebus
581,371936.1179,9929491.838,Callicebus
582,371946.9223,9929464.024,Callicebus
583,371941.3532,9929563.281,Callicebus
584,371935.1064,9929483.15,Callicebus
585,371932.1064,9929488.346,Callicebus
586,371750.3394,9929568.249,Callicebus
587,371793.2633,9929373.106,Callicebus
588,371666.6782,9929282.894,Callicebus
589,371766.4246,9929509.742,Callicebus
590,372161.6189,9929578.76,Callicebus
591,371737.3425,9929477.194,Callicebus
592,371930.8258,9929649.997,Callicebus
593,371917.049,9929564.503,Callicebus
594,371930.5189,9929717.732,Callicebus
595,371922.1344,9929669.404,Callicebus
596,371915.396,9929595.558,Callicebus
597,371937.7798,9929526.599,Callicebus
598,371642.6519,9929283.973,Callicebus
599,371722.3182,9929300.585,Callicebus
600,371956.6193,9929600.969,Callicebus
601,371915.317,9929563.503,Callicebus
